Location,Name,count
"Noble, Franklin, Milton Sts",American Playground,56
BAY PKWY & CROPSEY AVENUE,Bensonhurst Park,18
DUMONT AVE & BRISTOL ST,Betsy Head Memorial Playground,23
BROOKLYN AVE & PROSPECT PL,Brower Park,24
BROOKLYN AVE & PROSPECT PL,Brower Park,22
KNICKERBOCKER ST ENTRANCE,Maria Hernandez Park,74
IRVING AVE ENTRANCE,Maria Hernandez Park,83
"Knickerbocker, Putnam Aves, Woodbine St",Bushwick Playground,52
"E. 92 ST, SEAVIEW AVE",Dinapoli Playground,4
"Carroll, Court, President, Smith Sts",Carroll Park,81
"Park Ave, Navy St, Flushing Ave, N Eliot Pl",Commodore Barry Park,7
"Lynch, Middleton Sts, Lee Ave",Middleton Playground,9
"Lafayette Ave, E/o Malcolm X Blvd",Lafayette Playground,26
"SHARON & OLIVE STS,MORGAN AVE",Carnegie Playground,8
"Fulton, Cumberland Sts, Greene Ave",Cuyler Gore,96
CROPSEY & BAY 8,Bay 8 Playground,0
14 AVE & 86 ST,Dyker Playground,42
MYRTLE AVE & ST EDWARDS PLAZA,Fort Greene Playground,38
DEKALB AVE & CUMBERLAND ST,Fort Greene Park,87
18 AVE & 56 ST,Gravesend Park,83
"Commercial, Franklin, Dupont Sts",Greenpoint Park,26
"Knickerbocker, Wilson Aves, Weirfield, Halsey Sts",Irving Square Park,25
"Congress, Columbia, Pacific, Hicks Sts",Van Voorhees Park,33
"Ave S, E 14 & E 8 Sts",Wm E Kelly Memorial Park,8
"4TH AVE TO CS ADJ 5TH AVE, BTWN 66TH AND 67TH STREET",Leif Ericson Park,7
"7TH AV (EAST SIDE OF HIGHWAY) TO 8TH AVE, 66TH TO 67TH STREET",Leif Ericson Park,5
"8TH AVE TO FT HAMILTON PKWY, BTWN 66TH AND 67TH STREET",Leif Ericson Park,8
"ROCHESTER AVE, CARROLL ST",Lincoln Terrace Park / Arthur S. Somers Playground,38
"Montrose Ave, Boerum, Lorimer, Leonard Sts",Sternberg Park,43
"Dumont, Blake, Miller Aves, Bradford St",Dr Martin Luther King Jr Park,14
"FILLMORE AVE, MADISON PL",Ps 278 Playground,8
S/O AVE U & E 38 ST,Lenape  Playground,1
GERRITSEN AVE & AVE X,Dr John's Playground,3
