,Location,Name,count,geometry,SpatialLag,pval
0,"Noble, Franklin, Milton Sts",American Playground,56.0,"POLYGON ((997304.2845535597 204801.5648228381, 997304.2845535597 204801.5648228381, 997299.09648013 204642.794263897, 997283.400872479 204485.2263911115, 997257.3169843049 204330.0604110326, 997221.0431426718 204178.4772630065, 997174.8552443295 204031.6306305311, 997119.1046611146 203890.6381597124, 997054.2155702163 203756.572951614, 996980.6817295406 203630.4553934036, 996899.0627225536 203513.2453904683, 996809.9797011608 203405.8350586862, 996714.1106588962 203309.0419325214, 996612.1852704288 203223.6027407896, 996504.9793367028 203150.1677974192, 996393.3088779566 203089.2960500292, 996278.0239197219 203041.4508241077, 996160.0020191772 203006.9962951266, 996040.1415812871 202986.1947156061, 995919.3550157036 202979.2044182329, 995798.561786724 202986.078610222, 995678.6814093647 203006.7649681861, 995560.6264450474 203041.1060365426, 995445.2955504045 203088.8404264429, 995333.5666322601 203149.6048061207, 995226.2901611105 203222.9366673463, 995124.2826940868 203308.2778471462, 995028.3206568679 203404.9787775973, 994939.1344319426 203512.3034316045, 994857.40279836 203629.4349267819, 994783.7477652557 203755.4817447111, 994718.7298385155 203889.4845183483, 994662.8437566311 204030.4233356032, 994616.5147280792 204177.2255036234, 994580.0951988351 204328.7737145759, 994553.8621744621 204483.9145506823, 994538.0151170716 204641.467263787, 994532.6744330053 204800.2327625099, 994537.8805624928 204959.0027387577, 994553.5936781457 205116.5688637886, 994579.6939942939 205271.7319841647, 994615.9826847184 205423.3112474325, 994662.1834014958 205570.1530881273, 994717.9443833077 205711.1400057335, 994782.8411370093 205845.1990679365, 994856.379671864 205971.3100742845, 994938.000261775 206088.5133184757, 995027.0817067411 206195.9168900083, 995122.9460611269 206292.7034598085, 995224.8637927022 206378.1364982709, 995332.0593331734 206451.5658784437, 995443.7169780966 206512.4328217306, 995558.987091281 206560.2741486154, 995676.9925666078 206594.7258021099, 995796.835498184 206615.5256170465, 995917.6040082781 206622.5153143581, 996038.3791812001 206615.6417050762, 996158.2420505575 206594.957094862, 996276.2805869002 206560.6188862129, 996391.596632752 206512.8883810709, 996503.3127324614 206452.1287931832, 996610.5788050138 206378.8024851606, 996712.5786092344 206293.4674512609, 996808.5359522746 206196.7730726675, 996897.7205942757 206089.4551773905, 996979.4538042851 205972.3304424811, 997053.1135252682 205846.2901809166, 997118.1391089006 205712.2935605395, 997174.0355840395 205571.3603064868, 997220.3774264145 205424.5629425697, 997256.8118007089 205273.0186306492, 997283.0612503 205117.8806700341, 997298.9258140044 204960.3297215133, 997304.2845535597 204801.5648228381))",58.25,0.223
1,BAY PKWY & CROPSEY AVENUE,Bensonhurst Park,18.0,"POLYGON ((985694.0900923129 156743.2139048801, 985694.0900923129 156743.2139048801, 985688.8156375758 156584.4482941414, 985673.0134290627 156426.8903728579, 985646.8035317847 156271.7392720624, 985610.3852318261 156120.1758181514, 985564.0355253827 155973.3535451566, 985508.1070157732 155832.3899141919, 985443.0252343497 155698.3578073302, 985369.2854055335 155572.2773603266, 985287.4486805324 155455.1081966604, 985198.1378682539 155347.7421219035, 985102.0326958845 155250.9963342216, 984999.8646352309 155165.6072026303, 984892.411334152 155092.2246604841, 984780.4906955218 155031.4072569854, 984664.9546489201 154983.6179043096, 984546.682662474 154949.2203529116, 984426.5750444733 154928.4764218192, 984305.5460857624 154921.5440050138, 984184.5170954005 154928.4758691603, 984064.4093826768 154949.2192517989, 983946.1372391605 154983.6162631206, 983830.6009743368 155031.4050882189, 983718.6800579941 155092.2219806488, 983611.2264218256 155165.604032124, 983509.0579712561 155250.9926971778, 983412.952357112 155347.7380460103, 983323.6410545595 155455.1037129418, 983241.8037945267 155572.2725029059, 983168.0633899834 155698.3526131883, 983102.9809965224 155832.3844228605, 983047.0518432237 155973.3477984395, 983000.7014663381 156120.1698597806, 982964.2824742877 156271.7331473918, 982938.071868535 156426.8841285048, 982922.2689405566 156584.4419776248, 982916.9937608396 156743.2075642764, 982922.2862710749 156901.9725797161, 982938.1059864818 157059.5287331167, 982964.3323101108 157214.6769471533, 983000.7654567716 157366.2364831354, 983047.1279791589 157513.0539261001, 983103.0668845476 157654.0119616676, 983168.1563257156 157788.0378777912, 983241.9008455038 157914.1117268028, 983323.7391501684 158031.2740857301, 983413.0483828145 158138.6333557294, 983509.1488642421 158235.3725454008, 983611.3092651796 158320.7554862261, 983718.7521705048 158394.132432924, 983830.659993213 158454.9450063322, 983946.1811931304 158502.7304410139, 984064.4367532384 158537.1251055788, 984184.5268643536 158557.8672687047, 984305.5377675653 158564.799090132, 984426.5487024327 158557.8678212845, 984546.6389082625 158537.1262065335, 984664.8946254276 158502.732081966, 984780.4160435491 158454.947174792, 984892.3241439479 158394.1351123968, 984999.7673843373 158320.7586563189, 985101.9281751623 158235.3761819939, 985198.0290983344 158138.637431158, 985287.3388212165 158031.2785689748, 985369.1776608885 157914.1165837542, 985442.9227563739 157788.0430714824, 985508.012809551 157654.0174525855, 985563.9523586035 157513.0596724548, 985610.3155514107 157366.2424411995, 985646.7493901456 157214.6830715917, 985672.9764222363 157059.5349773072, 985688.7968571003 156901.9788961491, 985694.0900923129 156743.2139048801))",39.5,0.296
2,DUMONT AVE & BRISTOL ST,Betsy Head Memorial Playground,23.0,"POLYGON ((1010134.227252485 181239.7152448069, 1010134.227252485 181239.7152448069, 1010129.11779622 181080.943272328, 1010113.489971926 180923.3684218732, 1010087.462517419 180768.1899530649, 1010051.233330254 180616.588900301, 1010005.077967312 180469.7190833913, 1009949.347552786 180328.6983250151, 1009884.466110338 180194.5999416531, 1009810.927339628 180068.4445731408, 1009729.290861604 179951.1924128452, 1009640.177961095 179843.7358977215, 1009544.266858992 179746.8929139859, 1009442.287550025 179661.4005701735, 1009335.016245472 179587.9095850087, 1009223.269463036 179526.9793329023, 1009107.897809101 179479.0735848409, 1008989.779500621 179444.5569771329, 1008869.813676266 179423.6922349831, 1008748.913547729 179416.6381719408, 1008627.99944359 179423.4484806552, 1008507.991798787 179444.07132401, 1008389.804143346 179478.3497298497, 1008274.336143769 179526.0227862108, 1008162.466750355 179586.7276280552, 1008055.047502729 179660.0022001881, 1007952.89604467 179745.2887754744, 1007856.789897752 179841.9382013903, 1007767.460541265 179949.2148425986, 1007685.58784362 180066.3021818709, 1007611.794887565 180192.3090366036, 1007546.643228714 180326.2763436011, 1007490.628623375 180467.1844604185, 1007444.177258203 180613.9609276023, 1007407.642510251 180765.4886326456, 1007381.302261999 180920.6143135967, 1007365.356791614 181078.1573374386, 1007359.927254435 181236.9186863762, 1007365.054766912 181395.6900837355, 1007380.70009999 181553.2631898973, 1007406.743983851 181708.4387982455, 1007442.988021748 181860.0359612982, 1007489.156205558 182006.9009774177, 1007544.897021541 182147.916169813, 1007609.78612999 182282.0083911053, 1007683.32959832 182408.1571887097, 1007764.967662839 182525.402568897, 1007854.078990523 182632.8523007343, 1007949.985408265 182729.6887040924, 1008051.95706367 182815.1748703997, 1008159.217978012 182888.6602686238, 1008270.951949277 182949.5856941106, 1008386.308760356 182997.4875225238, 1008504.410645282 183032.0012366567, 1008624.358964409 183052.8641992192, 1008745.241037923 183059.917650742, 1008866.13708585 183053.1079171471, 1008986.127221866 183032.4868180808, 1009104.298447953 182998.2112727058, 1009219.7515968 182950.5421060513, 1009331.608169347 182889.8420649971, 1009439.017015512 182816.573058845, 1009541.16080757 182731.2926456191, 1009637.262256872 182634.6497906251, 1009726.590026861 182527.3799295205, 1009808.464297336 182410.2993735393, 1009882.261937747 182284.2990991746, 1009947.42125016 182150.3379696869, 1010003.446245714 182009.4354398102, 1010049.910422055 181862.6637992507, 1010086.460012861 181711.1400138556, 1010112.816684667 181556.0172264795, 1010128.779660283 181398.4759822202, 1010134.227252485 181239.7152448069))",19.25,0.276
3,BROOKLYN AVE & PROSPECT PL,Brower Park,24.0,"POLYGON ((1001281.808773055 184656.5860198386, 1001281.808773055 184656.5860198386, 1001276.642241635 184497.815741871, 1001260.959260887 184340.2464188782, 1001234.878988409 184185.0772684696, 1001198.599723743 184033.4892541667, 1001152.397404905 183886.6360966202, 1001096.623513473 183745.6354917086, 1001031.702404016 183611.5606025714, 1000958.12807811 183485.4318902361, 1000876.460427325 183368.20934517, 1000787.320973763 183260.7851789258, 1000691.388140429 183163.9770314645, 1000589.392087467 183078.5217461545, 1000482.109153608 183005.0697596223, 1000370.355945098 182944.1801493819, 1000254.983117233 182896.3163770384, 1000136.868895925 182861.8427593751, 1000016.912388748 182841.0216943079, 999896.0267364942 182834.0116629116, 999775.1321575684 182840.8660226431, 999655.1489383203 182861.5326010631, 999536.9904228634 182895.8540930912, 999421.5560559198 182943.5692588197, 999309.7245318072 183004.3149126727, 999202.3471019227 183077.6286888331, 999100.2410917639 183162.9525617915, 999004.1836769937 183259.637095165, 998914.9059659934 183366.9463864383, 998833.0874340892 183484.0636699297, 998759.350751778 183610.0975351846, 998694.2570463578 183744.0887134916, 998638.3016330546 183885.0173808099, 998591.91024801 184031.8109213434, 998555.4358117797 184183.3520927363, 998529.155747811 184338.4875306254, 998513.269876222 184496.0365278181, 998507.8988987585 184654.8000211471, 998513.0834862031 184813.5697176992, 998528.7839751167 184971.1372908604, 998554.8806759241 185126.3035761997, 998591.1747899167 185277.887697232, 998637.3899278891 185424.7360516188, 998693.1742187607 185565.7310894066, 998758.102991981 185699.7998166227, 998831.6820131142 185825.9219594672, 998913.3512479276 185943.1377270735, 999002.4891261895 186050.5551138273, 999098.4172727606 186147.3566857436, 999200.4056699011 186232.8057992728, 999307.6782114973 186306.2522053042, 999419.4186070687 186367.1369958714, 999534.7765906325 186414.9968558291, 999652.8743873147 186449.4675872725, 999772.8133885938 186470.2868799637, 999893.6809855858 186477.2963066938, 1000014.557508486 186470.4425283779, 1000134.523219569 186449.7776997941, 1000252.665306696 186415.4590728353, 1000368.084824313 186367.747800368, 1000479.903529291 186307.0069496841, 1000587.270559736 186233.6987406382, 1000689.368906132 186148.3810295962, 1000785.421625675 186051.7030657275, 1000874.697752647 185944.4005519093, 1000956.517859851 185827.2900479129, 1001030.259228926 185701.2627581939, 1001095.360590168 185567.2777516676, 1001151.326395733 185426.3546648547, 1001197.730593717 185279.5659439944, 1001234.219874248 185128.0286849874, 1001260.516362843 184972.8961333228, 1001276.41974033 184815.3489085014, 1001281.808773055 184656.5860198386))",34.75,0.467
4,BROOKLYN AVE & PROSPECT PL,Brower Park,22.0,"POLYGON ((1001392.610943 184875.2611235979, 1001392.610943 184875.2611235979, 1001387.445184074 184716.490810615, 1001371.763064931 184558.9214047579, 1001345.683736615 184403.7521242496, 1001309.40549148 184252.1639336105, 1001263.20425979 184105.3105548342, 1001207.431514843 183964.3096854763, 1001142.511602488 183830.2344906792, 1001068.938515178 183704.1054338027, 1000987.272135071 183586.8825079396, 1000898.133974588 183479.4579275183, 1000802.202446891 183382.6493356829, 1000700.207702195 183297.1935791472, 1000592.926069275 183223.7410981292, 1000481.174144466 183162.8509739161, 1000365.8025733 183114.9866720204, 1000247.68957212 183080.5125132539, 1000127.734239221 183059.6908996539, 1000006.849706459 183052.6803164676, 999885.9561837113 183059.534125343, 999765.9739492924 183080.2001580459, 999647.8163398177 183114.5211136498, 999532.382793125 183162.2357563311, 999420.5519972753 183222.9809045005, 999313.1751981376 183296.2941961696, 999211.0697163991 183381.6176095462, 999115.0127237012 183478.3017117276, 999025.7353252241 183585.6106034926, 998943.9169939047 183702.7275222077, 998870.1803987145 183828.7610601828, 998805.0866662989 183962.7519512158, 998749.1311120791 184103.6803734449, 998702.739473273 184250.4737129232, 998666.2646723646 184402.0147288563, 998639.9841355833 184557.1500580517, 998624.0976866427 184714.6989941487, 998618.7260316858 184873.4624744352, 998623.9098466412 185032.2322060956, 998639.609473959 185189.7998622651, 998665.7052306179 185344.966277862, 998701.9983250982 185496.5505754164, 998748.2123759462 185643.3991512375, 998803.9955203581 185784.3944536899, 998868.9230965053 185918.4634867843, 998942.5008790726 186044.585974393, 999024.1688432422 186161.8021230055, 999113.3054284528 186269.2199241315, 999209.2322694162 186366.0219406124, 999311.2193583178 186451.4715255114, 999418.4905990005 186524.9184261494, 999530.2297108946 186585.8037307822, 999645.5864377727 186633.6641203386, 999763.6830143386 186668.1353928898, 999883.6208413461 186688.9552340953, 1000004.487318852 186695.9652125503, 1000125.362785567 186689.1119849928, 1000245.327511811 186668.4477019774, 1000363.468692942 186634.1296112896, 1000478.887390293 186586.4188616883, 1000590.705366982 186525.6785164836, 1000698.071766654 186452.3707917059, 1000800.169584601 186367.0535400319, 1000896.221882042 186270.3760071323, 1000985.497696463 186163.0738926088, 1001067.317603048 186045.9637531935, 1001141.058884972 185919.9367905683, 1001206.160273182 185785.952071172, 1001262.126219639 185645.0292293323, 1001308.530671363 185498.2407094295, 1001345.020316556 185346.7036058312, 1001371.317277951 185191.5711628509, 1001387.221232783 185034.0239991486, 1001392.610943 184875.2611235979))",35.25,0.45
5,KNICKERBOCKER ST ENTRANCE,Maria Hernandez Park,74.0,"POLYGON ((1006625.619843008 195335.7692995096, 1006625.619843008 195335.7692995096, 1006620.49061219 195176.9973094534, 1006604.849287288 195019.4239665705, 1006578.814708872 194864.2485189791, 1006542.584828713 194712.6519780446, 1006496.435208983 194565.7881291888, 1006440.716930161 194424.7747495747, 1006375.853923568 194290.6850994147, 1006302.339748555 194164.5397519659, 1006220.733838903 194047.298824185, 1006131.657246802 193939.854667389, 1006035.787916826 193843.0250736021, 1005933.855525807 193757.547049282, 1005826.635927955 193684.0712040181, 1005714.945247475 193623.156796874, 1005599.633663777 193575.2674780992, 1005481.578936658 193540.7677588832, 1005361.679720897 193519.9202357808, 1005240.848721269 193512.8835912332, 1005120.005740228 193519.7113852859, 1005000.07067144 193540.3516477256, 1004881.956492568 193574.6472738441, 1004766.562310914 193622.337220658, 1004654.766514968 193683.0584946417, 1004547.420084237 193756.3489156306, 1004445.340108302 193841.6506359754, 1004349.303564703 193938.3143880141, 1004260.041403008 194045.6044275252, 1004178.232980209 194162.7041354495, 1004104.500889884 194288.7222352098, 1004039.406224409 194422.6995781858, 1003983.444306322 194563.6164456991, 1003937.040921287 194710.4003118382, 1003900.549081198 194861.9340079119, 1003874.246341962 195017.0642264987, 1003858.332696286 195174.610300119, 1003852.929057288 195333.3731878479, 1003858.076344328 195492.1446013442, 1003873.735177839 195649.7162008726, 1003899.786185275 195804.888791275, 1003936.030915663 195956.4814480088, 1003982.19335563 196103.3405036527, 1004037.922035146 196244.3483267183, 1004102.792706879 196378.4318257927, 1004176.311578575 196504.5706145257, 1004257.919073749 196621.8047752547, 1004346.994092026 196729.2421622621, 1004442.858736665 196826.0651892392, 1004544.783473187 196911.5370492361, 1004651.992679958 196985.0073199698, 1004763.670548512 197045.9169117572, 1004878.967288712 197093.8023206692, 1004997.005591777 197128.2991543066, 1005116.887301962 197149.1449037971, 1005237.700246399 197156.1809405746, 1005358.525171218 197149.353723082, 1005478.442731397 197128.7152039967, 1005596.540481253 197094.4224350719, 1005711.919812673 197046.7363724541, 1005823.702788383 196986.0198916775, 1005931.03881842 196912.7350272511, 1006033.111129215 196827.4394579872, 1006129.142976127 196730.782264655, 1006218.403552307 196623.4989922004, 1006300.213548923 196506.40605406, 1006373.950324588 196380.3945211236, 1006439.05264456 196246.4233424707, 1006495.024953729 196105.5120494738, 1006541.44115069 195958.7329986959, 1006577.94783428 195807.2032124804, 1006604.266997566 195652.0758794769, 1006620.198148819 195494.5315794732, 1006625.619843008 195335.7692995096))",65.25,0.155
6,IRVING AVE ENTRANCE,Maria Hernandez Park,83.0,"POLYGON ((1006874.890490785 195627.4642602353, 1006874.890490785 195627.4642602353, 1006869.762954557 195468.6922011425, 1006854.123438066 195311.1186814728, 1006828.090768115 195155.9429506868, 1006791.862881956 195004.3460223062, 1006745.715326571 194857.4816847123, 1006689.999166743 194716.4677187528, 1006625.138317653 194582.3773891286, 1006551.626322242 194456.2312742496, 1006470.022597692 194338.9894969131, 1006380.948179569 194231.5444148899, 1006285.080995901 194134.7138272482, 1006183.150707182 194049.2347480147, 1006075.933151622 193975.7577948079, 1005964.244437883 193914.8422351014, 1005848.934730406 193866.9517279355, 1005730.881774709 193832.4507935326, 1005610.984212091 193811.6020376892, 1005490.154734736 193804.5641522555, 1005369.313133528 193811.3907066997, 1005249.379291614 193832.0297402688, 1005131.266177333 193866.3241575753, 1005015.872889882 193914.0129248728, 1004904.077810948 193974.7330575895, 1004796.731914574 194048.0223842635, 1004694.652286281 194133.323065581, 1004598.615900968 194229.9858417837, 1004509.353706986 194337.274976089, 1004427.545061585 194454.3738563191, 1004353.812560038 194580.3912122019, 1004288.717297841 194714.3679007811, 1004232.754602085 194855.2842083731, 1004186.350264352 195002.0676133089, 1004149.857303777 195153.6009504282, 1004123.55328481 195308.7309150232, 1004107.638209883 195466.2768415612, 1004102.233003001 195625.039690223, 1004107.378595455 195783.8111729695, 1004123.035620579 195941.382949531, 1004149.084719576 196096.5558234114, 1004185.327456014 196248.1488679027, 1004231.487831678 196395.0084126146, 1004287.214392262 196536.0168223508, 1004352.082906556 196670.1010012193, 1004425.599598717 196796.2405577032, 1004507.204908856 196913.4755682805, 1004596.277753227 197020.9138807707, 1004692.140251622 197117.7379018163, 1004794.062885906 197203.2108168938, 1004901.270050444 197276.6821957005, 1005012.945952301 197337.5929401154, 1005128.240816319 197385.4795374231, 1005246.27734799 197419.9775861963, 1005366.157405055 197440.824568307, 1005486.968827216 197447.8618458174, 1005607.792372202 197441.0358677194, 1005727.70870548 197420.3985772631, 1005845.805390714 197386.1070168576, 1005961.18382789 197338.4221334587, 1006072.96608654 197277.7067936146, 1006180.30158216 197204.4230231594, 1006282.373545248 197119.1284926021, 1006378.405233811 197022.4722747947, 1006467.665842205 196915.1899072531, 1006549.476061357 196798.0977965467, 1006623.213248177 196672.0870072647, 1006688.316164809 196538.1164828368, 1006744.289251587 196397.2057496449, 1006790.706401206 196250.4271600101, 1006827.214205236 196098.8977327489, 1006853.534648229 195943.7706537836, 1006869.467228713 195786.2265009737, 1006874.890490785 195627.4642602353))",63.0,0.15
7,"Knickerbocker, Putnam Aves, Woodbine St",Bushwick Playground,52.0,"POLYGON ((1009983.161290911 192898.0840951495, 1009983.161290911 192898.0840951495, 1009978.053461327 192739.3115337557, 1009962.432315829 192581.7361651696, 1009936.416541406 192426.5572529072, 1009900.203946717 192274.9558346793, 1009854.069962368 192128.0857330418, 1009798.365549849 191987.0647727184, 1009733.514534931 191852.9662716301, 1009660.010385693 191726.8108704116, 1009578.412459604 191609.5587625369, 1009489.341748088 191502.1023844546, 1009393.476150945 191405.2596212102, 1009291.545316596 191319.7675795311, 1009184.325087393 191246.2769757349, 1009072.631592327 191185.3471812216, 1008957.315032233 191137.4419634002, 1008839.253204771 191102.9259544993, 1008719.344818754 191082.0618750726, 1008598.502648739 191075.0085336236, 1008477.646582203 191081.8196172722, 1008357.696612389 191102.4432830382, 1008239.565830378 191136.7225525169, 1008124.153469832 191184.3965072489, 1008012.338057606 191245.1022753984, 1007904.970722496 191318.3777948337, 1007802.868713191 191403.6653313058, 1007706.809174929 191500.3157250797, 1007617.523232286 191607.5933335932, 1007535.690423263 191724.6816323646, 1007461.933527034 191850.6894316118, 1007396.813824776 191984.6576610812, 1007340.82682958 192125.5666714186, 1007294.398517973 192272.3439964659, 1007257.882091558 192423.8725172946, 1007231.555293377 192578.9989658014, 1007215.61829923 192736.542703189, 1007210.192199947 192895.3047062679, 1007215.318085813 193054.076693397, 1007230.95674015 193211.6503204407, 1007256.988943971 193366.8263768151, 1007293.216389418 193518.4239115579, 1007339.363194652 193665.2892201323, 1007395.078008629 193806.3046234471, 1007459.936689532 193940.3969724183, 1007533.445536357 194066.5458133459, 1007615.045048898 194183.7911520778, 1007704.114187535 194291.2407578671, 1007799.975100251 194388.0769514116, 1007901.898280964 194473.5628256172, 1008009.10811987 194547.0478515657, 1008120.78880368 194607.9728273211, 1008236.090520831 194655.8741318925, 1008354.135924654 194690.3872519809, 1008474.026805361 194711.2495547754, 1008594.850920278 194718.3022857642, 1008715.688930535 194711.4917763803, 1008835.621391507 194690.869852152, 1008953.735744121 194656.5934385613, 1009069.133253907 194608.9233673144, 1009180.935845252 194548.222392228, 1009288.292778904 194474.9524298013, 1009390.387122224 194389.6710454509, 1009486.441962899 194293.0272119679, 1009575.726319084 194185.7563725832, 1009657.560700991 194068.6748461188, 1009731.322281648 193942.6736165715, 1009796.449637544 193808.711554571, 1009852.447023035 193667.8081220859, 1009898.888145895 193521.0356157872, 1009935.419415253 193369.5110082085, 1009961.762637074 193214.3874485143, 1009977.717136533 193056.8454877681, 1009983.161290911 192898.0840951495))",44.25,0.249
8,"E. 92 ST, SEAVIEW AVE",Dinapoli Playground,4.0,"POLYGON ((1015309.922326007 169113.665349811, 1015309.922326007 169113.665349811, 1015304.84394688 168954.8928861965, 1015289.241695539 168797.3152992526, 1015263.234115175 168642.1318694131, 1015227.018952077 168490.523668842, 1015180.871656397 168343.6445717959, 1015125.14329091 168202.6124716352, 1015060.257863673 168068.5007712408, 1014986.709104656 167942.330211912, 1014905.056710816 167825.0611027165, 1014815.922088087 167717.5860097516, 1014719.983622664 167620.7229607498, 1014617.971517514 167535.2092170761, 1014510.662233493 167461.6956604882, 1014398.872577348 167400.7418372773, 1014283.453481734 167352.811697963, 1014165.283524659 167318.2700646081, 1014045.262237859 167297.3798529438, 1013924.303255135 167290.3000704468, 1013803.327352965 167297.0846055712, 1013683.255436625 167317.681817377, 1013565.001525277 167351.9349287746, 1013449.465789681 167399.5832203201, 1013337.527695653 167460.264015397, 1013230.039305692 167533.5154417538, 1013127.818789797 167618.7799483409, 1013031.64419513 167715.4085504767, 1012942.247521926 167822.6657711975, 1012860.30915093 167939.7352409565, 1012786.452664731 168065.7259129974, 1012721.240102452 168199.6788471617, 1012665.167683931 168340.5745102511, 1012618.662035828 168487.340537455, 1012582.076948342 168638.8598955948, 1012555.690687066 168793.9793861517, 1012539.703880375 168951.5184231071, 1012534.237998193 169110.2780189374, 1012539.334433595 169269.049910262, 1012554.954194024 169426.6257536655, 1012580.978204298 169581.8063216928, 1012617.208218898 169733.4106291282, 1012663.368336434 169880.284919999, 1012719.107104532 170021.3114469955, 1012784.000199062 170155.4169765571, 1012857.553657084 170281.5809548951, 1012939.207638872 170398.8432728914, 1013028.340690236 170506.3115708144, 1013124.274472728 170603.1680273767, 1013226.278925669 170688.6755815158, 1013333.577820709 170762.1835395655, 1013445.354666773 170823.132525326, 1013560.758920427 170871.0587352625, 1013678.912454629 170905.5974667158, 1013798.916236643 170926.4858921067, 1013919.857164549 170933.5650582425, 1014040.815010444 170926.7810954127, 1014160.869417697 170906.1856271519, 1014279.106899139 170871.9353775619, 1014394.627783228 170824.2909791521, 1014506.553055401 170763.6149902459, 1014614.031042753 170690.3691370625, 1014716.243891356 170605.1108013083, 1014812.413787015 170508.4887801677, 1014901.808872273 170401.2383506323, 1014983.748814631 170284.1756759245, 1015057.609983765 170158.1915963277, 1015122.830198253 170024.2448516889, 1015178.913005752 169883.3547871377, 1015225.431463935 169736.5935973888, 1015262.031393385 169585.0781686175, 1015288.43407753 169429.9615799668, 1015304.438389008 169272.4243292801, 1015309.922326007 169113.665349811))",19.25,0.14
9,"Carroll, Court, President, Smith Sts",Carroll Park,81.0,"POLYGON ((986912.650576918 187419.6609969666, 986912.650576918 187419.6609969666, 986907.3907601639 187260.893655614, 986891.6164043531 187103.3334892558, 986865.4473625146 186948.1796459217, 986829.0826097982 186796.6129727402, 986782.7987348618 186649.7870280209, 986726.9478400068 186508.8193006117, 986661.9548658815 186374.7827034614, 986588.314361037 186248.6974062112, 986506.5867207503 186131.5230689216, 986417.393923725 186024.1515362132, 986321.4147989863 185927.4000474605, 986219.3798590293 185842.0050147516, 986112.0657385845 185768.6164160605, 986000.2892812717 185707.7928464126, 985884.9013193691 185659.997264689, 985766.7801939896 185625.59346858, 985646.825065272 185604.8433244979, 985525.9490635296 185597.9047736361, 985405.0723337278 185604.8306293188, 985285.1150263606 185625.5681748581, 985166.9902883341 185659.9595649717, 985051.597307282 185707.7430276813, 984939.8144625238 185768.5548575419, 984832.4926349453 185841.9321850369, 984730.4487268395 185927.3165009416, 984634.4594411936 186024.0579088359, 984545.2553678412 186131.4200733769, 984463.5154216355 186248.5858264843, 984389.8616749437 186374.6633888618, 984324.854623829 186508.6931593049, 984268.9889239838 186649.6550201379, 984222.6896287425 186796.4761030271, 984186.3089577588 186948.0389561238, 984160.1236208534 187103.1900501681, 984144.3327171917 187260.7485589353, 984139.0562257436 187419.5153469972, 984144.3340981926 187578.2820964846, 984160.1259611474 187735.840503342, 984186.3114296333 187890.9914729923, 984222.6910293887 188042.5542456316, 984268.9877206251 188189.3753814528, 984324.8490116355 188330.3375377469, 984389.8496458854 188464.3679708156, 984463.4948420754 188590.4466983288, 984545.2240623839 188707.6142598266, 984634.4152800991 188814.9790165853, 984730.3897141825 188911.7239350991, 984832.4169946621 188997.1128029271, 984939.7207195404 189070.495829402, 985051.484361051 189131.3145888136, 985166.8574763278 189179.1062684293, 985284.9621753618 189213.5071891306, 985404.8997971241 189234.255571872, 985525.7577432303 189241.1935289774, 985646.6164173406 189234.26826516, 985766.5562175605 189213.5324791168, 985884.6645289394 189179.143962687, 986000.0426629562 189131.3644005288, 986111.8126914143 189070.5573795525, 986219.1241228342 188997.1856231818, 986321.1603708151 188911.8074713587, 986417.1449651156 188815.0726332061, 986506.3474584462 188707.7172444522, 986588.088983962 188590.5582672992, 986661.7474213094 188464.487275156, 986726.7621319013 188330.4636695983, 986782.6382273164 188189.5073809723, 986828.95033836 188042.691108324, 986865.3458559657 187891.1321573306, 986891.5476192167 187735.983938694, 986907.3560298374 187578.4271912629, 986912.650576918 187419.6609969666))",54.0,0.287
