,Location,Name,count,geometry,SpatialLag,pval
76,"Wythe Ave To Berry St, Grand To S 1 Sts",William Sheridan Playground,120.0,"POLYGON ((995588.1997869898 199845.8033993694, 995588.1997869898 199845.8033993694, 995582.9993996738 199687.0334988163, 995567.2894190237 199529.467024635, 995541.1892081304 199374.3031727548, 995504.8972182827 199222.722866343, 995458.6894843597 199075.8797673333, 995402.9175291596 198934.8914949758, 995338.005692533 198800.8311184407, 995264.4479054897 198674.71898818, 995182.8039337577 198557.5149683204, 995093.6951192452 198450.1111292564, 994997.7996517817 198353.3249561024, 994895.8474071636 198267.8931248024, 994788.6143907323 198194.4658932958, 994676.9168288346 198133.6021505682, 994561.6049532881 198085.7651611931, 994443.5565261273 198051.3190379857, 994323.6701542031 198030.525969508, 994202.8584445413 198023.5442236526, 994082.0410528053 198030.4269425754, 993962.1376778923 198051.1217379413, 993844.0610562592 198085.4710899403, 993728.7100093565 198133.2135466488, 993616.9625973764 198193.9857148515, 993509.6694315635 198267.3250270213, 993407.6471960935 198352.6732633913, 993311.6724290376 198449.3808023027, 993222.4756097676 198556.7115663118, 993140.7355979563 198673.8486264572, 993067.0744664875 198799.9004219401, 993002.0527676672 198933.9075477698, 992946.1652686803 199074.8500586944, 992899.8371887874 199221.6552337227, 992863.420966737 199373.2057421011, 992837.1935829264 199528.3481485525, 992821.3544565343 199685.9016929524, 992816.0239335446 199844.6672776154, 992821.242376844 200003.4365937792, 992836.9698653407 200161.001317748, 992863.0865039767 200316.1623067844, 992899.3933423145 200467.7387246977, 992945.6138943112 200614.5770276984, 993001.396247698 200755.559742276, 993066.3157466801 200889.6139681205, 993139.8782274318 201015.7195416634, 993221.5237816049 201132.9167979977, 993310.6310192207 201240.3138722541, 993406.5217983519 201337.0934848384, 993508.466385658 201422.5191591751, 993615.6890084618 201495.9408243803, 993727.3737562179 201556.7997605888, 993842.6707864666 201604.6328492963, 993960.7027882366 201639.0760961854, 994080.5716537583 201659.8674001163, 994201.3653079181 201666.8485467789, 994322.1646436744 201659.96641225, 994442.0505107372 201639.2733670828, 994560.1107046277 201604.9268779368, 994675.4469030402 201557.1883097223, 994787.1814969501 201496.4209375332, 994894.4642645766 201423.0871831479, 994996.4788376908 201337.7450974639, 995092.4489110385 201241.0441152749, 995181.6441478601 201133.7201147818, 995263.3857365752 201016.5898194533, 995337.0515563767 200890.5445845308, 995402.0809125087 200756.543615669, 995457.9788051231 200615.6066710459, 995504.3196991544 200468.8063025367, 995540.7507665026 200317.2596948213, 995566.9945757036 200162.1201646835, 995582.851208502 200004.5683848443, 995588.1997869898 199845.8033993694))",126.0,0.027
100,"S 3 St, Berry St & Bedford Ave",Berry Playground,124.0,"POLYGON ((995754.9791065955 198898.6226976484, 995754.9791065955 198898.6226976484, 995749.7796010042 198739.852816062, 995734.0700839047 198582.286288196, 995707.9699148563 198427.1223103793, 995671.6775448396 198275.5418067549, 995625.4690116164 198128.6984407667, 995569.695844071 197987.7098336998, 995504.7823912808 197853.6490572615, 995431.2225965544 197727.5364649797, 995349.5762408999 197610.3319244937, 995260.4646843668 197502.9275101752, 995164.5661376534 197406.1407115251, 995062.6104999909 197320.70820925, 994955.3738025421 197247.2802664233, 994843.6722996689 197186.4157774391, 994728.3562531816 197138.5780125724, 994610.3034568576 197104.1310905342, 994490.4125507993 197083.3372059691, 994369.5961765405 197076.3546330003, 994248.7740252437 197083.2365200609, 994128.8658320302 197103.9304851677, 994010.7843700269 197138.279014816, 993895.4284975224 197186.0206633404, 993783.6763114349 197246.7920436734, 993676.3784593435 197320.1305942721, 993574.3516610895 197405.4781011685, 993478.3724894698 197502.1849482376, 993389.1714573785 197609.5150632909, 993307.4274565512 197726.651522306, 993233.7625902304 197852.7027690377, 993168.7374391477 197986.7094026724, 993112.846796762 198127.6514816799, 993066.5159062577 198274.4562883542, 993030.0972277739 198426.0064947479, 993003.8677604034 198581.1486678562, 992988.0269391825 198738.7020493342, 992982.6951229939 198897.4675427323, 992987.9126845665 199056.2368399805, 993003.6397095184 199213.8016175317, 993029.7563063202 199368.9627322306, 993066.0635248522 199520.5393469475, 993112.2848761778 199667.377916383, 993168.0684419445 199808.3609650103, 993232.9895571304 199942.4155899913, 993306.5540456086 200068.521624719, 993388.2019837509 200185.7194008062, 993477.3119634341 200293.117049411, 993573.2058218617 200389.8972866086, 993675.153802258 200475.3236310423, 993782.3801061212 200548.7460067545, 993894.0687948901 200609.6056885085, 994009.3699961117 200657.4395520897, 994127.4063670705 200691.8835973309, 994247.2797667445 200712.6757169823, 994368.0780855119 200719.6576905586, 994488.8821808308 200712.7763878453, 994608.7728661881 200692.0841730579, 994726.837900435 200657.7385065183, 994842.1789244276 200610.0007469106, 994953.918292416 200549.2341631303, 995061.2057462862 200475.9011709804, 995163.2248821445 200390.5598155367, 995259.1993600122 200293.8595260078, 995348.3988096091 200186.536175358, 995430.1443872931 200069.4064820612, 995503.8139418996 199943.3617967913, 995568.8467502488 199809.3613209981, 995624.7477862202 199668.4248090865, 995671.0914908253 199521.6248096469, 995707.5250145713 199370.0785045387, 995733.77090731 199214.939208232, 995749.6292349189 199057.3875916632, 995754.9791065955 198898.6226976484))",126.25,0.026
110,"Havemeyer To Roebling Sts, S 4 To S 5 Sts",La Guardia Playground,158.0,"POLYGON ((996808.8426432215 198134.0511385219, 996808.8426432215 198134.0511385219, 996803.6498589229 197975.2810753536, 996787.9466798326 197817.7139094369, 996761.8524172626 197662.5488419423, 996725.5654772436 197510.9668053021, 996679.3618562102 197364.1214746135, 996623.5930456595 197223.1304861182, 996558.6833615032 197089.0669296771, 996485.1267183762 196962.9511799408, 996403.4828732868 196845.7431286077, 996314.3731671746 196738.3348767573, 996218.4757966622 196641.5439431207, 996116.520652015 196556.1070398796, 996009.2837606446 196482.6744636175, 995897.5813783859 196421.8051439946, 995782.2637737392 196373.9623880669, 995664.2087523389 196339.510352544, 995544.3149712195 196318.7112709933, 995423.4950937952 196311.7234571117, 995302.6688378892 196318.6000992172, 995182.7559698619 196339.2888552578, 995064.6692984187 196373.6322513766, 994949.3077214968 196421.3688809895, 994837.5493794306 196482.135395213, 994730.2449666482 196555.4692695548, 994628.2112529316 196640.8123256338, 994532.224863712 196737.5149811789, 994443.0163668094 196844.8411959178, 994361.2647107783 196961.9740754722, 994287.5920571251 197088.0220908621, 994222.5590458476 197222.0258658441, 994166.6605302359 197362.965480638, 994120.3218133963 197509.7682362721, 994083.8954150276 197661.3168204016, 994057.6583929803 197816.4578123488, 994041.810239788 197974.0104627501, 994036.4713701347 198132.7756807225, 994041.6822104316 198291.5451602636, 994057.4028974491 198449.1105764324, 994083.5135878922 198604.2727812227, 994119.8153765912 198755.8509291738, 994166.0318159282 198902.6914633562, 994221.8110249387 199043.6768932585, 994286.7283717558 199177.7342979264, 994360.2897089217 199303.8434896206, 994441.935136792 199421.0447759044, 994531.0432663452 199528.4462612513, 994626.9359488584 199625.23063252, 994728.8834365084 199710.6613769392, 994836.1099345415 199784.0883850508, 994947.7995029084 199844.9528963749, 995063.1022624628 199892.791749953, 995181.1408586276 199927.2409076661, 995301.0171334441 199948.0382233504, 995421.8189554079 199955.0254370031, 995542.6271553158 199948.1493785155, 995662.5225154158 199927.4623722275, 995780.5927589827 199893.1218388084, 995895.9394872277 199845.38909788, 996007.6850109904 199784.6273801627, 996114.9790253096 199711.2990644091, 996217.0050763654 199625.962160108, 996312.9867715497 199529.2660626096, 996402.1936856681 199421.9466129246, 996483.9469182615 199304.8204998692, 996557.6242599105 199178.7790468378, 996622.6649281849 199044.7814306823, 996678.5738371378 198903.8473840437, 996724.9253678691 198757.0494367038, 996761.3666113267 198605.5047549284, 996787.6200586127 198450.3666407957, 996803.4857181079 198292.8157562515, 996808.8426432215 198134.0511385219))",130.25,0.015
111,"S 5 St, Broadway, Havemeyer St",La Guardia Playground South,150.0,"POLYGON ((996919.8515349298 197915.5106365453, 996919.8515349298 197915.5106365453, 996914.6594281482 197756.7405621605, 996898.9568264756 197599.1733368719, 996872.8630368431 197444.0081623006, 996836.5764616686 197292.4259716967, 996790.3730946234 197145.5804413376, 996734.604425261 197004.5892089844, 996669.6947684217 196870.5253663379, 996596.1380385287 196744.4092902512, 996514.4939932607 196627.2008748899, 996425.3839750703 196519.7922241259, 996329.4861829579 196423.0008597107, 996227.5305103975 196337.5634971201, 996120.2929888144 196264.1304364271, 996008.58987885 196203.2606109952, 995893.2714545324 196155.4173317089, 995775.2155277372 196120.9647592739, 995655.320762386 196100.1651313602, 995534.4998293938 196093.1767658002, 995413.6724546036 196100.0528551307, 995293.7584129047 196120.7410614908, 995175.6705219246 196155.0839152287, 995060.3076888861 196202.8200138675, 994948.5480636792 196263.586012571, 994841.2423505087 196336.919390773, 994739.2073290433 196422.2619738606, 994643.2196346704 196518.9641831731, 994554.0098451435 196626.2899818067, 994472.2569188518 196743.4224785938, 994398.5830269796 196869.4701474168, 994333.5488189386 197003.4736146897, 994277.6491571299 197144.4129629652, 994231.309353381 197291.2154953063, 994194.881935673 197442.7639010553, 994168.643969604 197597.9047609001, 994152.7949548953 197755.4573264718, 994147.4553127851 197914.2225075238, 994152.6654755733 198072.9919983603, 994168.3855851762 198230.5574739382, 994194.4958026969 198385.7197857866, 994230.797226561 198537.2980876549, 994277.013411938 198684.1388214196, 994332.7924797848 198825.124495059, 994397.7097993125 198959.1821857789, 994471.2712232672 199085.291703647, 994552.9168513538 199202.49335375, 994642.0252930163 199309.8952377966, 994737.91839716 199406.6800396303, 994839.8664127522 199492.111243176, 994947.093541017 199565.5387354953, 995058.7838371197 199626.4037524286, 995174.0874163641 199674.2431291887, 995292.1269179384 199708.6928236328, 995412.004176989 199729.4906855639, 995532.8070545319 199736.4784507789, 995653.6163733158 199729.6029450152, 995773.5129070878 199708.9164883705, 995891.5843701796 199674.5764973556, 996006.9323545248 199626.8442874476, 996118.6791614002 199566.083085334, 996225.9744760896 199492.7552658457, 996328.0018348667 199407.4188346846, 996423.9848351747 199310.7231835954, 996513.1930418863 199203.4041502063, 996594.9475447024 199086.2784201504, 996668.626124547 198960.2373138997, 996733.6679895564 198826.2400056763, 996789.5780446796 198685.3062257746, 996835.93066229 198538.5085019366, 996872.372925075 198386.9639987184, 996898.627316365 198231.8260168647, 996914.4938373704 198074.2752172708, 996919.8515349298 197915.5106365453))",132.25,0.022
144,"Broadway, Rodney, S 5 Sts",Rodney Park Center,115.0,"POLYGON ((997640.9356802298 197442.2682345586, 997640.9356802298 197442.2682345586, 997635.7481830638 197283.4980331128, 997620.0499503439 197125.9303684636, 997593.9602557501 196970.7644455543, 997557.6774705335 196819.1812033453, 997511.4775595204 196672.3343260966, 997455.71198596 196531.3414618146, 997390.8050411301 196397.2757146341, 997317.2506188115 196271.1574759048, 997235.608459119 196153.9466562547, 997146.4998901521 196046.535377858, 997050.6030998799 195949.7411824549, 996948.6479741494 195864.3008070947, 996841.4105402221 195790.8645747709, 996729.7070580703 195729.9914429947, 996614.3878045529 195682.1447478342, 996496.330597855 195647.6886759962, 996376.4341116383 195626.885491775, 996255.6110299135 195619.8935401005, 996134.7810948769 195626.7660407797, 996014.8641009028 195647.4506833004, 995896.7728880881 195681.7900251085, 995781.406388937 195729.5226904769, 995669.642781243 195790.2853607052, 995562.3327995212 195863.615540541, 995460.2932559286 195948.955079728, 995364.3008202703 196045.6544227631, 995275.0861063866 196152.9775545528, 995193.3281101459 196270.1076042158, 995119.6490413208 196396.1530642666, 995054.6095887241 196530.1545779115, 994998.704654674 196671.092242576, 994952.3595911247 196817.8933741152, 994915.9269660885 196969.4406725253, 994889.6838847966 197124.5807269276, 994873.8298859011 197282.1327950631, 994868.485428573 197440.8977904767, 994873.6909817595 197599.6674088528, 994889.4067224588 197757.2333241909, 994915.5128450231 197912.3963846793, 994951.8104790425 198063.9757383386, 994998.0232085277 198210.8178190579, 995053.7991807358 198351.8051245704, 995118.7137884356 198485.8647196338, 995192.2729050098 198611.9763998471, 995273.9166477218 198729.1804538532, 995363.0236403621 198836.5849650447, 995458.9157428612 198933.3725972854, 995560.8632118078 199018.8068129689, 995668.0902525843 199092.2374762452, 995779.7809210195 199153.1057988165, 995895.085329582 199200.9485907494, 996013.1261111472 199235.4017839319, 996133.005091119 199256.2032015247, 996253.8101174154 199263.1945522965, 996374.6219964314 199256.3226346684, 996494.5214824296 199235.6397414682, 996612.5962672738 199201.303262081, 996727.9479176186 199153.5744852623, 996839.6987068406 199092.8166115634, 996946.9982899182 199019.4919904971, 997049.030170641 198934.1586034179, 997145.0179120402 198837.4658189082, 997234.2310429078 198730.1494527625, 997315.9906154717 198613.0261703046, 997389.6743720735 198486.987273407, 997454.721481454 198352.9919194481, 997510.6368086514 198212.059823831, 997556.9946859175 198065.263501492, 997593.4421559119 197913.7201063097, 997619.7016623366 197758.5829305675, 997635.5731674734 197601.0326290557, 997640.9356802298 197442.2682345586))",137.0,0.017
145,"Rodney, S 4 & S 5 Sts",Rodney Park North,123.0,"POLYGON ((997751.7324115725 197624.4946859628, 997751.7324115725 197624.4946859628, 997746.5456789804 197465.7244504634, 997730.8482841762 197308.1567038886, 997704.7594944631 197152.9906518227, 997668.4776742046 197001.4072341929, 997622.2787808799 196854.5601366018, 997566.5142699997 196713.5670087239, 997501.6084247538 196579.5009567059, 997428.055130547 196453.3823742021, 997346.4141189085 196336.1711744611, 997257.3067092104 196228.7594825471, 997161.4110805844 196131.9648433601, 997059.4571100472 196046.5239973038, 996952.2208160684 195973.0872709683, 996840.5184499369 195912.213625605, 996725.2002800216 195864.3664012128, 996607.144116257 195829.909788504, 996487.2486243774 195809.1060559032, 996366.4264808127 195802.1135525085, 996245.5974206324 195808.9855023363, 996125.6812315426 195829.6695990609, 996007.5907475146 195864.0084042822, 995892.2248955135 195911.7405463571, 995780.4618484072 195972.5027105765, 995673.152336438 196045.8324055308, 995571.1131681916 196131.171484662, 995475.1210106134 196227.8703959705, 995385.9064754345 196335.1931276526, 995304.1485571638 196452.3228118749, 995230.4694649699 196578.3679439304, 995165.4298878585 196712.3691695253, 995109.5247290848 196853.3065882782, 995063.1793423169 197000.107517912, 995026.7462980241 197151.6546599654, 995000.5027046355 197306.7946047494, 994984.6481046969 197464.3466108507, 994979.3029619578 197623.1115922646, 994984.5077505707 197781.8812447965, 995000.2226533635 197939.4472421763, 995026.3278710614 198094.61043197, 995062.6245401447 198246.1899612174, 995108.8362519606 198393.0322624603, 995164.6111615145 198534.0198317545, 995229.5246696589 198668.0797318599, 995303.0826581548 198794.1917560335, 995384.7252528368 198911.3961903024, 995473.8310862426 199018.8011151692, 995569.722027125 199115.5891913472, 995671.6683409058 199201.0238778522, 995778.8942417622 199274.4550352332, 995890.5837941945 199335.3238714567, 996005.8871191717 199383.1671926536, 996123.9268578158 199417.6209266977, 996243.8048434606 199438.4228926376, 996364.6089315917 199445.4147950507, 996485.4199357545 199438.5434281903, 996605.3186168558 199417.8610806607, 996723.3926728992 199383.525137707, 996838.7436760752 199335.7968840146, 996950.4939046906 199275.039516148, 997057.7930179859 199201.7153797727, 997159.824523334 199116.3824525588, 997255.8119866227 199019.6900995757, 997345.0249387512 198912.3741333658, 997426.7844333216 198795.2512161907, 997500.4682132587 198669.2126471489, 997565.5154471266 198535.21758111, 997621.430999023 198394.2857313116, 997667.78919949 198247.4896108176, 997704.2370887207 198095.9463719547, 997730.49710723 197940.8093058308, 997746.3692134031 197783.2590663951, 997751.7324115725 197624.4946859628))",135.5,0.018
146,"Rodney, S 3 & S 4 Sts",Rodney Playground South,133.0,"POLYGON ((997862.5070575313 197843.154668588, 997862.5070575313 197843.154668588, 997857.3210974245 197684.3843969488, 997841.6245642176 197526.8165663993, 997815.536718653 197371.6503831604, 997779.2559179122 197220.0667881489, 997733.0581117078 197073.2194683243, 997677.2947472805 196932.226075057, 997612.3900990905 196798.1597165009, 997538.838043443 196672.0407886335, 997457.1983024296 196554.829207352, 997368.0921857526 196447.4171006012, 997272.1978627127 196350.6220164453, 997170.2452003794 196265.1806986707, 997063.0102072656 196191.7434774453, 996951.3091247672 196130.8693178119, 996835.9922114798 196083.0215636491, 996717.9372677773 196048.5644097348, 996598.0429501017 196027.760128592, 996477.2219259498 196020.7670734909, 996356.3939218682 196027.6384726532, 996236.4787175327 196048.3220239441, 996118.3891394198 196082.6602931175, 996003.0241075935 196130.3919126191, 995891.2617886831 196191.1535716986, 995783.952907386 196264.4827828215, 995681.9142674952 196349.8214030864, 995585.9225319352 196446.5198840112, 995496.7083092189 196553.8422170584, 995414.9505914772 196670.9715374244, 995341.2715863639 196797.0163431946, 995276.2319822077 196931.017282533, 995220.3266824808 197071.954457256, 995173.9810419208 197218.7551869545, 995137.5476329322 197370.3021746771, 995111.3035667128 197525.4420119059, 995095.4483894107 197682.9939580451, 995090.1025691658 197841.7589275549, 995095.3065852975 198000.5286163335, 995111.0206265022 198158.0946978275, 995137.1249000661 198313.2580189568, 995173.4205496504 198464.837725767, 995219.6311743687 198611.6802494526, 995275.4049374963 198752.6680843499, 995340.3172486131 198886.728291221, 995413.87399858 199012.840660972, 995495.5153226712 199130.0454769952, 995584.6198630832 199237.4508169033, 995680.5094984091 199334.2393382266, 995782.4545040134 199419.6744965985, 995889.679104029 199493.1061489856, 996001.3673728491 199553.9754995722, 996116.6694412153 199601.8193505816, 996234.707959809 199636.2736258497, 996354.5847712567 199657.0761403177, 996475.3877399797 199664.0685943767, 996596.197688036 199657.197778075, 996716.0953843737 199636.5159758351, 996834.1685344877 199602.1805687667, 996949.5187174702 199554.4528374709, 997061.2682178665 199493.6959745351, 997168.5667004636 199420.3723217776, 997270.5976774277 199335.0398532023, 997366.584718668 199238.3479303892, 997455.7973583067 199131.0323625957, 997537.5566523134 199013.9098090771, 997611.2403451408 198887.8715661488, 997676.2876060259 198753.8767862037, 997732.203298851 198612.945180319, 997778.5617530893 198466.1492596674, 997815.0100069992 198314.6061750935, 997841.2704983274 198159.4692165109, 997857.1431818575 198001.9190370558, 997862.5070575313 197843.154668588))",133.0,0.022
147,"Rodney, S 3 St",Rodney Playground Center,142.0,"POLYGON ((997945.5764585661 198025.3665065675, 997945.5764585661 198025.3665065675, 997940.3910817868 197866.5962067803, 997924.6952066189 197709.0283122078, 997898.6080887999 197553.8620295727, 997862.3280799695 197402.2783005493, 997816.1311238196 197255.4308131051, 997760.3686611183 197114.4372198885, 997695.4649594661 196980.3706305728, 997621.9138879543 196854.2514428917, 997540.2751611943 196737.0395747263, 997451.1700811689 196629.6271561824, 997355.276809279 196532.8317376981, 997253.3252046042 196447.3900656156, 997146.091267608 196373.9524728069, 997034.3912316409 196313.0779271166, 996919.0753473376 196265.2297753785, 996801.0214072368 196230.7722153673, 996681.12806015 196209.9675227377, 996560.3079661826 196202.9740538546, 996439.4808448064 196209.8450401269, 996319.566468972 196230.5281825237, 996201.4776588506 196264.8660499493, 996086.1133286681 196312.597277874, 995974.3516397111 196373.3585585493, 995867.0433118859 196446.687407312, 995765.0051447668 196532.0256840394, 995669.0137976803 196628.7238428513, 995579.7998761899 196736.0458776682, 995498.0423701347 196853.17492594, 995424.3634855467 196979.2194878476, 995359.323909852 197113.2202134136, 995303.4185462956 197254.1572060761, 995257.0727501048 197400.9577868011, 995220.6390948652 197552.5046597897, 995194.3946936555 197707.6444173882, 995178.5390951703 197865.1963196141, 995173.1927707586 198023.9612812436, 995178.3962035661 198182.7309982492, 995194.109586739 198340.2971438683, 995220.2131325678 198495.4605645239, 995256.5079902564 198647.0404055041, 995302.7177649372 198793.8830969671, 995358.4906263583 198934.8711319996, 995423.4019909586 199068.9315697977, 995496.9577568129 199195.0441995483, 995578.5980666704 199312.2493026458, 995667.7015704572 199419.6549545049, 995763.5901546552 199516.4438103054, 995865.5341026215 199601.879323106, 995972.757646538 199675.3113471972, 996084.4448688423 199736.1810839197, 996199.7459082367 199784.0253325555, 996317.7834232373 199818.4800139252, 996437.6592641012 199839.282939866, 996558.4613026369 199846.2758076467, 996679.2703679883 199839.4054041746, 996799.1672358179 199818.7240107172, 996917.2396179296 199784.3890052804, 997032.589099254 199736.6616654082, 997144.3379696796 199675.9051807047, 997251.6358987852 199602.5818901262, 997353.666402956 199517.2497649118, 997449.6530557004 199420.5581640304, 997538.8653940861 199313.2428942999, 997620.624476387 199196.120612699, 997694.308048667 199070.0826134752, 997759.3552810702 198936.0880471864, 997815.2710377063 198795.1566232507, 997861.6296475598 198648.3608514936, 997898.0781477084 198496.8178816072, 997924.3389740182 198341.681002641, 997940.2120787263 198184.1308671178, 997945.5764585661 198025.3665065675))",130.75,0.024
148,"Borinquen, Rodney & S 1 St",Rodney Playground North,152.0,"POLYGON ((998111.7323126661 198353.3580500768, 998111.7323126661 198353.3580500768, 998106.5480946207 198194.5876960195, 998090.85351185 198037.0196754454, 998064.7678102561 197881.8531960114, 998028.4893306994 197730.2692008876, 997982.2940052338 197583.4213800723, 997926.5332622153 197442.4273887413, 997861.6313561571 197308.3603395882, 997788.0821424836 197182.2406338687, 997706.4453216672 197065.0281933576, 997617.3421811846 196957.6151525515, 997521.4508676747 196860.8190666186, 997419.5012253126 196775.3766869565, 997312.2692396267 196701.9383518268, 997200.5711291165 196641.0630347289, 997085.2571297622 196593.2140883697, 996967.2050197572 196558.7557165597, 996847.3134339838 196537.9502011239, 996726.4950191438 196530.9559047231, 996605.6694819289 196537.8260650204, 996485.7565832335 196558.5083893132, 996367.669131987 196592.8454527087, 996252.3060320739 196640.5758968014, 996140.545435418 196701.3364198271, 996033.2380536132 196774.6645428844, 995931.2006790334 196860.0021313706, 995835.2099649751 196956.6996446464, 995745.9965121844 197064.0210815576, 995664.239306933 197181.1495841169, 995590.5605529648 197307.1936566359, 995525.5209367122 197441.1939528915, 995469.6153617294 197582.1305795697, 995423.269184853 197728.9308604334, 995386.8349825662 197880.4775019702, 995360.5898721117 198035.6170982775, 995344.733407582 198193.1689106138, 995339.3860669169 198351.9338544522, 995344.5883409966 198510.703625858, 995360.3004317862 198668.2698976925, 995386.4025614116 198823.4335153886, 995422.6958898542 198975.0136227387, 995468.9040338855 199121.8566478842, 995524.6751756629 199262.8450813563, 995589.5847447122 199396.9059793263, 995663.1386527732 199523.0191274544, 995744.7770567335 199640.2248032043, 995833.8786210236 199747.6310776231, 995929.7652468858 199844.4206011462, 996031.7072325808 199929.8568217634, 996138.9288252237 200003.2895883383, 996250.6141221024 200064.160096603, 996365.9132765724 200112.0051399436, 996483.9489614951 200146.4606331399, 996603.8230410554 200167.2643818312, 996724.6234004659 200174.2580770413, 996845.4308816498 200167.3884993816, 996965.3262723263 200146.707923847, 997083.3972955415 200112.3737221894, 997198.7455465681 200064.6471658565, 997310.4933246585 200003.8914385005, 997417.7903077047 199930.568873316, 997519.8200192931 199845.2374359991, 997615.8060389638 199748.5464803239, 997705.017908604 199641.2318081738, 997786.776690055 199524.1100719973, 997860.4601316707 199398.072561888, 997925.5074045907 199264.0784246866, 997981.4233726166 199123.1473665494, 998027.7823631244 198976.3518945234, 998064.2314102954 198824.8091560146, 998090.4929458321 198669.6724383163, 998106.366916575 198512.1223927152, 998111.7323126661 198353.3580500768))",137.5,0.02
149,"Hope St, Marcy, Metropolitan Aves",Jaime Campiz Playground,152.0,"POLYGON ((998305.2693708471 199264.2952559844, 998305.2693708471 199264.2952559844, 998300.0866194204 199105.5248082367, 998284.393887826 198947.9566106573, 998258.3104078763 198792.7898722459, 998222.0345035242 198641.205538152, 998175.8420872237 198494.3573009341, 998120.0845651901 198353.3628189321, 998055.1861674223 198219.2952085614, 997981.6407226442 198093.1748753386, 997900.0079026471 197975.9617458103, 997810.9089644483 197868.5479597048, 997715.0220227145 197771.7510778546, 997613.0768883447 197686.3078577112, 997505.8495125584 197612.8686439022, 997394.1560787709 197551.9924166315, 997278.8467873688 197504.142535506, 997160.7993807149 197469.6832114685, 997040.9124578963 197448.8767335784, 996920.0986301262 197441.8814718193, 996799.2775691865 197448.7506711956, 996679.3690019043 197469.4320463322, 996561.2857042449 197503.768179552, 996445.9265484815 197551.4977195541, 996334.1696565208 197612.2573714463, 996226.8657117622 197685.5846629667, 996124.8314804229 197770.9214658459, 996028.843591877 197867.6182454384, 995939.6326253678 197974.939006189, 995857.8775482458 198092.0668952632, 995784.200548059 198218.1104216469, 995719.1622978925 198352.110243285, 995663.257690905 198493.0464704734, 995616.9120765663 198639.8464300467, 995580.4780270786 198791.3928309176, 995554.2326585222 198946.5322690516, 995538.3755269538 199104.0840068779, 995533.0271153901 199262.8489604505, 995538.2279228615 199421.6188257744, 995553.9381624947 199579.1852749673, 995580.0380705039 199734.3491521287, 995616.328823778 199885.9295990714, 995662.5340586862 200032.7730413398, 995718.3019795261 200173.7619662588, 995783.2080403363 200307.8234262966, 995856.7581795555 200433.937202797, 995938.3925827539 200551.143568433, 996027.4899448099 200658.5505889968, 996123.3721989465 200755.3409092318, 996225.3096766951 200840.7779710505, 996332.5266594791 200914.2116169319, 996444.2072796692 200975.0830358713, 996559.5017262131 201022.9290143545, 996677.532707802 201057.3854600107, 996797.402124416 201078.1901712399, 996918.1978967552 201085.1848317432, 997039.0009016534 201078.3162147815, 997158.891960897 201057.6365880407, 997276.958830497 201023.3033160569, 997392.3031373385 200975.577663206, 997504.0472106915 200914.8228062774, 997611.3407566437 200841.5010718352, 997713.3673249406 200756.1704192935, 997809.3505190454 200659.4801964188, 997898.5599023531 200552.1661995605, 997980.3165556182 200435.045076028, 998053.9982434022 200309.0081112641, 998119.0441501896 200175.0144479508, 998174.9591501796 200034.0837886854, 998221.3175781158 199887.2886374387, 998257.7664724615 199735.7461392148, 998284.0282660831 199580.6095794667, 998299.9029038562 199423.0596082967, 998305.2693708471 199264.2952559844))",137.5,0.031
